"ar1"	"ar2"	"ar3"	"ar4"	"ar5"	"ma1"	"ma2"	"ma3"	"ma4"	"ma5"	"ma6"	"ma7"	"ma8"	"ma9"
"ar1"	1	0	0.805787444518874	0	0.563287544311849	0	0	0	0	0	0	0.351598437927287	0	0.523398775014473
"ar2"	0	1	0	0.352946327014205	0	0	0	0	0	0.342869628786998	0	0	0	0
"ar3"	0.805787444518876	0	1	0.396895617287424	0.840463525511588	0	0	0	0	0	0	0.384844166710521	0	0.61578914535011
"ar4"	0	0.352946327014201	0.396895617287431	1	0.430395822492364	0	0	0	0	0	0	0.303514056140859	0.40804491107036	0
"ar5"	0.563287544311851	0	0.840463525511587	0.430395822492357	1	0	0	0	0	0	0	0.304187144475149	0.360138094653828	0.599381605523014
"ma1"	0	0	0	0	0	1	0	0.810474774182733	0	0.442475642958124	0	0	0	0
"ma2"	0	0	0	0	0	0	1	0	0.573727112768714	0	0	0	0	0.308157005852837
"ma3"	0	0	0	0	0	0.810474774182736	0	1	0	0.806126247581057	0	0	0	0
"ma4"	0	0	0	0	0	0	0.573727112768713	0	1	0	0.579681964638422	0	0	0
"ma5"	0	0.342869628787002	0	0	0	0.442475642958125	0	0.806126247581056	0	1	0	0	0	0
"ma6"	0	0	0	0	0	0	0	0	0.579681964638424	0	1	0	0.587950000621782	0
"ma7"	0.35159843792729	0	0.384844166710522	0.303514056140857	0.30418714447515	0	0	0	0	0	0	1	0	0.697842332247641
"ma8"	0	0	0	0.40804491107036	0.360138094653831	0	0	0	0	0	0.587950000621783	0	1	0
"ma9"	0.523398775014472	0	0.615789145350106	0	0.599381605523012	0	0.308157005852841	0	0	0	0	0.697842332247639	0	1
